episode, sarsa, exp_sarsa, q, q_with_memory
1.570000000000000000e+04,3.181592941081798354e-01,3.193329503365124333e-01,3.529119184251917618e-01,3.100961292040128048e-01
1.580000000000000000e+04,3.312139495727903782e-01,2.871253243572356451e-01,3.030475899302174647e-01,3.424019753626429963e-01
1.590000000000000000e+04,3.121190179745923499e-01,3.030896924932686698e-01,3.040753986749660798e-01,3.001063386514390974e-01
1.600000000000000000e+04,3.350087049605188771e-01,3.106883325833309506e-01,2.946207306466411824e-01,3.004217584988969625e-01
1.610000000000000000e+04,3.117840260966237564e-01,2.922084103644985720e-01,3.150155537006003592e-01,3.296483649365425372e-01
1.620000000000000000e+04,3.252625723956598103e-01,3.280626392105105427e-01,2.919470389124395604e-01,3.560397644589609611e-01
1.630000000000000000e+04,3.515710752061844135e-01,3.160275518764835145e-01,2.960712077435624923e-01,2.763438941709894237e-01
1.640000000000000000e+04,3.320983312061660531e-01,3.275653683415696293e-01,3.004943386434073549e-01,3.053014821070311191e-01
1.650000000000000000e+04,2.979949288336581903e-01,3.204244655251805018e-01,2.906545120522288084e-01,3.281896320332788330e-01
1.660000000000000000e+04,3.564987754445602675e-01,2.805041665459571676e-01,3.261832474149372052e-01,3.038032126613480766e-01
1.670000000000000000e+04,3.234577910958760238e-01,3.146696796726571321e-01,3.060099653924904239e-01,2.786441554441073665e-01
1.680000000000000000e+04,3.291080204674006193e-01,3.115250934822721418e-01,3.531391103834233824e-01,3.094588339433340662e-01
1.690000000000000000e+04,3.307193375743278652e-01,2.784202590241000586e-01,3.010659328546960167e-01,2.757294769591540073e-01
1.700000000000000000e+04,3.312183952738269044e-01,3.073174798034793986e-01,3.154927504572592745e-01,3.105539714542855934e-01
1.710000000000000000e+04,3.354703746310561119e-01,3.140197032482209827e-01,2.726983075912496890e-01,3.038513486462374180e-01
1.720000000000000000e+04,2.851266754324303099e-01,3.142680243378153659e-01,3.289794457831505259e-01,3.098075672188984608e-01
1.730000000000000000e+04,2.858306509787392757e-01,3.369144701365313077e-01,3.110070063029218845e-01,3.384036251173310195e-01
1.740000000000000000e+04,3.273578465305792551e-01,3.318058703234569862e-01,3.248719809216711329e-01,3.164782119751429201e-01
1.750000000000000000e+04,3.609676159176995469e-01,3.122714951851703336e-01,2.891910928447063434e-01,3.162040134717432061e-01
1.760000000000000000e+04,3.319862962715266486e-01,3.508996574668759583e-01,3.361146575490437383e-01,3.420178410294481552e-01
1.770000000000000000e+04,3.216139767522273596e-01,3.043192613586764295e-01,3.042923006349302906e-01,3.145210701063970160e-01
1.780000000000000000e+04,3.320049194727432984e-01,3.076255112385767876e-01,3.068699458362283417e-01,3.306871115362959856e-01
1.790000000000000000e+04,3.162572786377921275e-01,3.107570203193009140e-01,2.998596990046930033e-01,3.394370993478560417e-01
1.800000000000000000e+04,3.403617909005802744e-01,3.331827418946602948e-01,3.500117087098855162e-01,3.124429995398707582e-01
1.810000000000000000e+04,2.997572343818485918e-01,3.106187374239486876e-01,3.114473696794132773e-01,3.330033013758723071e-01
1.820000000000000000e+04,2.684514933504575929e-01,2.830107159500599434e-01,3.334560669833255830e-01,3.439944286423742281e-01
1.830000000000000000e+04,3.010515729647895711e-01,3.154347564543145133e-01,3.286374305041999677e-01,2.914703486920712794e-01
1.840000000000000000e+04,3.085941678918458497e-01,3.463328367999927160e-01,2.913049598149607400e-01,2.792096844910315068e-01
1.850000000000000000e+04,3.121145911807376438e-01,2.869606590753567832e-01,3.468376197315867215e-01,3.181681910504945421e-01
1.860000000000000000e+04,3.290258138070797367e-01,3.579967108726845870e-01,3.113644910362060592e-01,3.351229178300863532e-01
1.870000000000000000e+04,3.542942922312825038e-01,3.177136834039144264e-01,3.064884346257248926e-01,3.328635696296269875e-01
1.880000000000000000e+04,3.002664658707554501e-01,3.436568753298939738e-01,2.766496947507711690e-01,3.104858153015483957e-01
1.890000000000000000e+04,3.370909423159842988e-01,2.993246840445918933e-01,3.453926769188072621e-01,3.324862273575762139e-01
1.900000000000000000e+04,2.975437549891682965e-01,3.277637959316161975e-01,3.305503546502871481e-01,3.389386198265745276e-01
1.910000000000000000e+04,3.509141683028788594e-01,3.206130199570532691e-01,3.227504716310380939e-01,3.052919758127993211e-01
1.920000000000000000e+04,3.079701034202659837e-01,3.121850864387418212e-01,3.141469949912956694e-01,3.287475499482148678e-01
1.930000000000000000e+04,3.227912078345286928e-01,3.049231428420850487e-01,3.354180911444188395e-01,3.157109790788022452e-01
1.940000000000000000e+04,3.215456381729258073e-01,3.127781346839653143e-01,3.205152388982690503e-01,3.561613154807645731e-01
1.950000000000000000e+04,3.353356451314816189e-01,3.352529069135709028e-01,3.285893762688666397e-01,3.324925204595898243e-01
1.960000000000000000e+04,3.170504025340933896e-01,3.175081529750735099e-01,3.027570643517665805e-01,3.198204954333774275e-01
1.970000000000000000e+04,3.796847311372912315e-01,3.357856589800168323e-01,3.221520147078976715e-01,3.043641469458867044e-01
1.980000000000000000e+04,3.494001825684208695e-01,3.121389242994719315e-01,3.279969904916649748e-01,2.980709044931513230e-01
1.990000000000000000e+04,3.269997387861501292e-01,3.171477488346139961e-01,3.327051863191395342e-01,3.106302120651134313e-01
