episode, tdn, tdn_sarsa
1.110000000000000000e+04,2.444932981855390264e-01,2.728441011659618054e-01
1.120000000000000000e+04,2.129399699898954779e-01,3.057135189939820807e-01
1.130000000000000000e+04,2.422461055903059879e-01,3.108504990563749626e-01
1.140000000000000000e+04,1.999843896026296253e-01,3.115022814672944174e-01
1.150000000000000000e+04,2.010189162782206052e-01,2.829570846789331573e-01
1.160000000000000000e+04,2.257240011714868322e-01,2.603752557416266211e-01
1.170000000000000000e+04,2.120216554295537015e-01,2.666999812223921906e-01
1.180000000000000000e+04,2.334606649301315118e-01,3.114749793793643029e-01
1.190000000000000000e+04,2.174456684251636351e-01,3.063399719632417528e-01
1.200000000000000000e+04,2.088034393544440093e-01,2.986575871902533708e-01
1.210000000000000000e+04,2.029245684883679290e-01,2.796315845487054585e-01
1.220000000000000000e+04,2.653651291133372059e-01,2.786466072144311301e-01
1.230000000000000000e+04,2.322173305592735160e-01,2.953364321422968786e-01
1.240000000000000000e+04,2.475417396887006904e-01,2.840094748868791097e-01
1.250000000000000000e+04,2.009949948297164446e-01,2.888655072149535763e-01
1.260000000000000000e+04,2.007795245820788443e-01,3.268230084306186223e-01
1.270000000000000000e+04,2.033321374113254976e-01,2.345151440006938981e-01
1.280000000000000000e+04,2.471267299194926936e-01,3.054908127478963564e-01
1.290000000000000000e+04,2.136807975543792426e-01,3.325748608835570330e-01
1.300000000000000000e+04,2.365432374237623203e-01,3.000715412557230510e-01
1.310000000000000000e+04,2.153538285752992776e-01,2.901601909857661199e-01
1.320000000000000000e+04,2.523000733790498051e-01,3.041260561044386579e-01
1.330000000000000000e+04,2.056480418071936489e-01,3.294776969694143687e-01
1.340000000000000000e+04,2.790506381076537368e-01,3.243854781131615406e-01
1.350000000000000000e+04,2.432344958458749762e-01,2.662544379796449312e-01
1.360000000000000000e+04,1.999534429591734996e-01,2.887624144375038338e-01
1.370000000000000000e+04,1.742176065763028359e-01,2.856572413808225464e-01
1.380000000000000000e+04,2.138937578998055533e-01,2.996230413614058286e-01
1.390000000000000000e+04,2.532361000643900129e-01,2.801746547008784338e-01
1.400000000000000000e+04,2.399184948248108684e-01,3.292753541786357929e-01
1.410000000000000000e+04,2.296326363967369222e-01,2.856525556632774632e-01
1.420000000000000000e+04,2.053809985519732817e-01,3.229074133946456260e-01
1.430000000000000000e+04,2.282876502555884757e-01,3.054384808070907398e-01
1.440000000000000000e+04,2.333209578364600079e-01,2.952871189354601134e-01
1.450000000000000000e+04,2.120346998194155286e-01,3.138979456789940947e-01
1.460000000000000000e+04,2.321710189694639326e-01,2.761829652624682163e-01
1.470000000000000000e+04,2.520573486116883810e-01,2.470458330824344961e-01
1.480000000000000000e+04,2.082645036339957623e-01,3.108736665347029970e-01
1.490000000000000000e+04,2.013236074763280481e-01,2.809786239616107184e-01
1.500000000000000000e+04,2.092646599924288253e-01,3.309626496312047528e-01
1.510000000000000000e+04,2.169760570147459822e-01,2.723139474917589120e-01
1.520000000000000000e+04,2.105939500991145519e-01,2.954456732159042032e-01
1.530000000000000000e+04,2.377603855230126517e-01,2.602178453539674696e-01
1.540000000000000000e+04,2.131277921899652761e-01,3.070105838253531783e-01
1.550000000000000000e+04,1.882615521405551218e-01,2.943145419428392917e-01
1.560000000000000000e+04,1.869437429051244159e-01,2.910657169262091948e-01
1.570000000000000000e+04,2.175230726880688914e-01,3.189927506541225810e-01
1.580000000000000000e+04,2.390482629527343750e-01,3.022762576970984827e-01
